"id","idclasses","name"
"293","6620","DATA_CLASS"
"294","6641","BRAIN_CLASS"
"295","6689","BRAIN_CLASS"
"296","6706","DATA_CLASS"
"297","6709","BRAIN_CLASS"
"298","6717","DATA_CLASS"
"299","6821","BRAIN_CLASS"
"300","6874","DATA_CLASS"
"301","6879","DATA_CLASS"
"302","6880","DATA_CLASS"
"303","6882","DATA_CLASS"
"304","6883","DATA_CLASS"
"305","6940","DATA_CLASS"
"306","6948","DATA_CLASS"
"307","6965","DATA_CLASS"
"308","7034","DATA_CLASS"
"309","7037","GOD_CLASS"
"310","7039","DATA_CLASS"
"311","7112","DATA_CLASS"
"312","7115","DATA_CLASS"
"313","7116","DATA_CLASS"
"314","7117","DATA_CLASS"
"315","7120","DATA_CLASS"
"316","7122","DATA_CLASS"
"317","7124","DATA_CLASS"
"318","7126","DATA_CLASS"
"319","7127","DATA_CLASS"
"320","7190","BRAIN_CLASS"
"321","7201","DATA_CLASS"
"322","7211","GOD_CLASS"
"323","7267","DATA_CLASS"
"324","7294","GOD_CLASS"
"325","7307","DATA_CLASS"
"326","7313","GOD_CLASS"
"327","7401","BRAIN_CLASS"
"328","7403","BRAIN_CLASS"
"329","7416","GOD_CLASS"
"330","7427","DATA_CLASS"
"331","7443","DATA_CLASS"
"332","7473","DATA_CLASS"
"333","7562","BRAIN_CLASS"
"334","7576","GOD_CLASS"
"335","7597","DATA_CLASS"
"336","7602","GOD_CLASS"
"337","7607","GOD_CLASS"
"338","7642","GOD_CLASS"
"339","7673","BRAIN_CLASS"
"340","7736","BRAIN_CLASS"
"341","7739","BRAIN_CLASS"
"342","7751","BRAIN_CLASS"
"343","7751","GOD_CLASS"
"344","7762","BRAIN_CLASS"
"345","7767","DATA_CLASS"
"346","7774","DATA_CLASS"
"347","7776","GOD_CLASS"
"348","7803","GOD_CLASS"
"349","7860","GOD_CLASS"
"350","7879","GOD_CLASS"
"351","7884","GOD_CLASS"
"352","7885","GOD_CLASS"
"353","7891","GOD_CLASS"
"354","7892","DATA_CLASS"
"355","7896","GOD_CLASS"
"356","7896","BRAIN_CLASS"
"357","7900","GOD_CLASS"
"358","7900","BRAIN_CLASS"
"359","7963","BRAIN_CLASS"
"360","7967","DATA_CLASS"
"361","7982","DATA_CLASS"
"362","7989","BRAIN_CLASS"
"363","7995","DATA_CLASS"
"364","8046","DATA_CLASS"
"365","8057","BRAIN_CLASS"
"366","8088","DATA_CLASS"
"367","8095","DATA_CLASS"
"368","8112","BRAIN_CLASS"
"369","8133","BRAIN_CLASS"
"370","8134","DATA_CLASS"
"371","8161","DATA_CLASS"
"372","8169","DATA_CLASS"
"373","8184","GOD_CLASS"
"374","8202","DATA_CLASS"
"375","8230","DATA_CLASS"
"376","8247","DATA_CLASS"
"377","8249","BRAIN_CLASS"
"378","8257","DATA_CLASS"
"379","8265","DATA_CLASS"
"380","8266","DATA_CLASS"
"381","8267","DATA_CLASS"
"382","8270","DATA_CLASS"
"383","8274","DATA_CLASS"
"384","8275","DATA_CLASS"
"385","8277","DATA_CLASS"
"386","8284","DATA_CLASS"
"387","8286","DATA_CLASS"
"388","8287","DATA_CLASS"
"389","8299","BRAIN_CLASS"
"390","8304","DATA_CLASS"
"391","8329","DATA_CLASS"
"392","8341","DATA_CLASS"
"393","8350","DATA_CLASS"
"394","8353","DATA_CLASS"
"395","8359","DATA_CLASS"
"396","8373","DATA_CLASS"
"397","8378","BRAIN_CLASS"
"398","8404","BRAIN_CLASS"
"399","8409","GOD_CLASS"
"400","8410","DATA_CLASS"
"401","8417","GOD_CLASS"
"402","8443","DATA_CLASS"
"403","8454","DATA_CLASS"
"404","8472","DATA_CLASS"
"405","8521","DATA_CLASS"
"406","8536","BRAIN_CLASS"
"407","8541","DATA_CLASS"
"408","8542","BRAIN_CLASS"
"409","8562","DATA_CLASS"
"410","8592","DATA_CLASS"
"411","8600","DATA_CLASS"
"412","8608","BRAIN_CLASS"
"413","8625","DATA_CLASS"
"414","8648","DATA_CLASS"
"415","8652","DATA_CLASS"
"416","8666","DATA_CLASS"
"417","8676","DATA_CLASS"
"418","8704","DATA_CLASS"
"419","8722","DATA_CLASS"
"420","8725","GOD_CLASS"
"421","8729","DATA_CLASS"
